batsman,bowler,inning,batsman_runs,is_wicket
RS Bopara,P Kumar,50,60,1
DR Smith,JP Faulkner,49,60,1
V Sehwag,JH Kallis,47,60,2
Mandeep Singh,PP Chawla,43,60,0
SP Narine,R Ashwin,21,60,0
AB de Villiers,R Ashwin,83,59,2
DA Warner,NM Coulter-Nile,75,59,1
MEK Hussey,L Balaji,75,59,2
MS Dhoni,MG Johnson,75,59,1
V Kohli,KH Pandya,73,59,1
SE Marsh,RP Singh,70,59,1
AM Rahane,A Nehra,69,59,0
BB McCullum,M Morkel,69,59,1
V Sehwag,JA Morkel,67,59,1
AM Rahane,MM Sharma,63,59,1
DR Smith,S Nadeem,61,59,2
MK Pandey,UT Yadav,58,59,0
R Dravid,L Balaji,56,59,1
SR Tendulkar,AB Dinda,56,59,0
MS Dhoni,Yuvraj Singh,55,59,0
MEK Hussey,R Bhatia,54,59,0
DR Smith,A Mishra,45,59,1
DR Smith,YS Chahal,45,59,2
V Sehwag,PP Chawla,43,59,2
KH Pandya,Imran Tahir,41,59,2
MEK Hussey,IK Pathan,41,59,2
RG Sharma,VR Aaron,38,59,1
AT Rayudu,YS Chahal,139,58,2
MK Pandey,R Ashwin,87,58,2
G Gambhir,AR Patel,84,58,0
RV Uthappa,I Sharma,78,58,1
KA Pollard,PP Chawla,73,58,1
SA Yadav,YS Chahal,67,58,2
DPMD Jayawardene,SL Malinga,65,58,3
LMP Simmons,R Ashwin,65,58,2
R Dravid,IK Pathan,65,58,2
DA Warner,RA Jadeja,63,58,0
KS Williamson,DL Chahar,60,58,0
LMP Simmons,Sandeep Sharma,56,58,0
Mandeep Singh,SP Narine,53,58,3
S Dhawan,AD Russell,52,58,1
RG Sharma,AB Dinda,45,58,2
RR Pant,Mohammed Siraj,44,58,3
LMP Simmons,MM Sharma,41,58,0
MP Stoinis,CJ Jordan,30,58,1
M Vijay,S Narwal,25,58,0
CH Gayle,SL Malinga,115,57,1
SPD Smith,JJ Bumrah,95,57,3
RV Uthappa,DW Steyn,94,57,0
KL Rahul,KH Pandya,93,57,0
SPD Smith,KV Sharma,92,57,1
G Gambhir,I Sharma,90,57,0
KL Rahul,B Kumar,90,57,0
KD Karthik,R Vinay Kumar,80,57,3
MK Pandey,SL Malinga,77,57,4
RV Uthappa,M Muralitharan,74,57,3
S Dhawan,TA Boult,71,57,1
SR Tendulkar,SK Trivedi,69,57,1
JC Buttler,SN Thakur,68,57,2
SR Watson,JD Unadkat,55,57,0
DPMD Jayawardene,R Bhatia,53,57,0
RG Sharma,A Kumble,53,57,2
DA Warner,K Rabada,50,57,3
JM Bairstow,UT Yadav,50,57,1
ML Hayden,JH Kallis,41,57,0
V Shankar,DJ Bravo,38,57,1
STR Binny,DJ Bravo,37,57,1
RV Uthappa,HV Patel,36,57,1
CH Gayle,Mohammed Siraj,30,57,0
JH Kallis,MM Patel,81,56,2
MS Dhoni,JJ Bumrah,79,56,4
V Kohli,S Nadeem,78,56,1
JH Kallis,SB Jakati,76,56,2
MK Tiwary,PP Chawla,74,56,1
N Rana,Rashid Khan,71,56,1
YK Pathan,R Ashwin,71,56,3
M Vijay,VR Aaron,69,56,0
V Kohli,MM Sharma,67,56,1
KD Karthik,PP Chawla,66,56,3
S Dhawan,IK Pathan,65,56,3
SV Samson,PP Chawla,64,56,2
SV Samson,Harbhajan Singh,63,56,0
G Gambhir,SB Jakati,62,56,1
JH Kallis,IK Pathan,61,56,2
SA Asnodkar,MS Gony,58,56,0
PA Patel,RA Jadeja,57,56,2
RR Pant,Harbhajan Singh,55,56,0
RV Uthappa,P Kumar,55,56,1
SK Raina,AB Dinda,52,56,1
AC Gilchrist,JH Kallis,51,56,0
MA Agarwal,YS Chahal,49,56,3
V Sehwag,Z Khan,49,56,3
RV Uthappa,S Sreesanth,40,56,0
AC Gilchrist,S Sreesanth,36,56,2
DA Warner,KW Richardson,21,56,0
G Gambhir,PP Chawla,94,55,1
Yuvraj Singh,SK Raina,82,55,2
RV Uthappa,A Nehra,67,55,2
SR Tendulkar,A Mishra,64,55,2
V Sehwag,Harbhajan Singh,64,55,2
NV Ojha,PP Chawla,63,55,2
G Gambhir,PP Ojha,60,55,5
Yuvraj Singh,UT Yadav,59,55,4
AM Rahane,NM Coulter-Nile,56,55,0
AB de Villiers,SB Jakati,50,55,2
HH Pandya,DJ Bravo,49,55,1
MS Dhoni,S Kaul,46,55,1
Q de Kock,DS Kulkarni,46,55,1
AB de Villiers,Imran Tahir,44,55,2
AB de Villiers,M Ashwin,42,55,1
KL Rahul,Mohammad Nabi,42,55,0
AB de Villiers,DW Steyn,40,55,2
MS Dhoni,DJ Bravo,40,55,0
SK Raina,DJ Bravo,40,55,4
GJ Maxwell,A Mishra,38,55,4
SK Raina,Iqbal Abdulla,38,55,0
BB McCullum,MG Johnson,36,55,0
HH Pandya,JD Unadkat,33,55,1
AB de Villiers,MJ McClenaghan,30,55,1
V Sehwag,RA Jadeja,25,55,0
PA Patel,AB Dinda,88,54,2
V Kohli,SK Raina,73,54,1
SR Watson,I Sharma,70,54,2
AM Rahane,Shakib Al Hasan,68,54,2
KD Karthik,R Ashwin,68,54,1
G Gambhir,A Mishra,66,54,2
SA Yadav,DL Chahar,66,54,1
JC Buttler,Mujeeb Ur Rahman,61,54,2
DA Miller,UT Yadav,60,54,2
SK Raina,AJ Tye,58,54,0
AM Rahane,HH Pandya,51,54,1
DA Warner,PP Ojha,50,54,0
GJ Maxwell,PP Chawla,50,54,3
S Dhawan,CH Morris,49,54,1
SR Watson,M Muralitharan,48,54,1
S Dhawan,GJ Maxwell,46,54,1
TM Dilshan,SK Trivedi,44,54,0
AB de Villiers,PV Tambe,42,54,1
V Kohli,SN Thakur,40,54,1
GJ Maxwell,Harbhajan Singh,39,54,1
AM Rahane,S Aravind,38,54,0
SPD Smith,S Nadeem,35,54,1
BB McCullum,PJ Cummins,23,54,0
DA Warner,DJ Bravo,95,53,1
AB de Villiers,PP Chawla,83,53,4
