bowler,batsman,inning,is_wicket,batsman_runs
S Gopal,RG Sharma,13,2,15
DJ Bravo,MG Johnson,7,2,2
S Gopal,CA Lynn,21,2,17
S Gopal,M Vijay,14,2,5
S Gopal,MK Pandey,46,2,48
S Gopal,PP Shaw,19,2,14
S Gopal,AJ Finch,10,2,4
S Gopal,S Dhawan,39,2,41
DJ Bravo,PP Chawla,11,2,1
SP Narine,SR Tendulkar,18,2,5
KMDN Kulasekara,JD Ryder,47,2,42
KP Pietersen,SK Raina,22,2,11
DJ Bravo,N Saini,6,2,4
S Gopal,SP Narine,23,2,13
SP Narine,S Dhawan,67,2,62
S Badree,AM Rahane,12,2,11
KV Sharma,DJ Hooda,18,2,10
SP Narine,KH Pandya,40,2,24
JH Kallis,MEK Hussey,52,2,62
JH Kallis,CH Gayle,71,2,46
SP Narine,M Vijay,35,2,17
DJ Bravo,SV Samson,28,2,18
KK Ahmed,SP Narine,16,2,19
JH Kallis,PA Patel,55,2,34
DJ Bravo,KC Sangakkara,26,2,27
SP Narine,KL Rahul,75,2,82
AB Dinda,AC Gilchrist,56,2,32
DJ Bravo,MK Pandey,37,2,40
KK Ahmed,PP Shaw,22,2,16
S Lamichhane,SM Curran,8,2,8
KV Sharma,KD Karthik,34,2,26
DJ Bravo,UT Yadav,17,2,4
S Nadeem,AJ Finch,45,2,34
JH Kallis,CA Pujara,14,2,14
S Aravind,SR Watson,15,2,22
AB Dinda,Harbhajan Singh,23,2,13
JH Kallis,DA Warner,28,2,32
KV Sharma,DR Smith,46,2,49
DJ Bravo,RS Bopara,7,2,1
SP Narine,NV Ojha,68,2,32
S Kaul,Mandeep Singh,19,2,8
KK Cooper,KD Karthik,23,2,16
KK Cooper,KA Pollard,14,2,17
DJ Bravo,S Dhawan,91,2,80
SP Narine,MS Dhoni,83,2,30
KV Sharma,G Gambhir,52,2,47
KK Cooper,AP Tare,9,2,7
DP Nannes,SC Ganguly,28,2,8
JH Kallis,Mandeep Singh,19,2,15
