bowler,inning,over,ball,total_runs,is_wicket,overs_bowl,bowling_avg,bowling_strike_rate
LE Plunkett,265,1521,554,228,4,44.166666666666664,57.0,66.25
DP Vijaykumar,222,983,574,205,4,37.0,51.25,55.5
S Dhawan,80,308,175,72,4,13.333333333333334,18.0,20.0
Shivam Sharma,162,1272,399,165,4,27.0,41.25,40.5
WA Mota,93,995,274,98,4,15.5,24.5,23.25
TM Head,90,553,168,81,3,15.0,27.0,30.0
RJ Peterson,48,486,168,70,3,8.0,23.333333333333332,16.0
A Uniyal,50,403,140,67,3,8.333333333333334,22.333333333333332,16.666666666666668
JW Hastings,106,444,220,66,3,17.666666666666668,22.0,35.333333333333336
R Ninan,36,342,126,65,3,6.0,21.666666666666668,12.0
AL Menaria,165,814,402,144,3,27.5,48.0,55.0
TU Deshpande,151,961,414,193,3,25.166666666666668,64.33333333333333,50.333333333333336
Gagandeep Singh,108,1002,294,142,3,18.0,47.333333333333336,36.0
DAJ Bracewell,25,253,91,32,3,4.166666666666667,10.666666666666666,8.333333333333334
SM Harwood,110,676,262,74,3,18.333333333333332,24.666666666666668,36.666666666666664
SM Boland,62,448,154,56,3,10.333333333333334,18.666666666666668,20.666666666666668
RN ten Doeschate,124,854,308,94,3,20.666666666666668,31.333333333333332,41.333333333333336
K Santokie,78,520,189,91,3,13.0,30.333333333333332,26.0
Sachin Baby,20,144,31,8,3,3.3333333333333335,2.6666666666666665,6.666666666666667
MJ Clarke,78,636,231,72,3,13.0,24.0,26.0
DJ Thornely,62,499,161,40,3,10.333333333333334,13.333333333333334,20.666666666666668
Abhishek Sharma,130,630,266,113,3,21.666666666666668,37.666666666666664,43.333333333333336
K Khejroliya,134,1005,372,157,3,22.333333333333332,52.333333333333336,44.666666666666664
P Sahu,171,1100,377,152,3,28.5,50.666666666666664,57.0
JJ van der Wath,76,720,281,134,3,12.666666666666666,44.666666666666664,25.333333333333332
JM Kemp,66,420,172,58,3,11.0,19.333333333333332,22.0
T Shamsi,168,1032,336,151,3,28.0,50.333333333333336,56.0
KM Asif,76,239,140,75,3,12.666666666666666,25.0,25.333333333333332
JDS Neesham,224,1362,547,245,3,37.333333333333336,81.66666666666667,74.66666666666667
A Flintoff,84,780,231,106,2,14.0,53.0,42.0
LJ Wright,110,851,276,125,2,18.333333333333332,62.5,55.0
Shahbaz Ahmed,62,436,133,45,2,10.333333333333334,22.5,31.0
DJ Willey,86,570,217,96,2,14.333333333333334,48.0,43.0
B Geeves,49,361,175,91,2,8.166666666666666,45.5,24.5
DNT Zoysa,93,516,252,100,2,15.5,50.0,46.5
SD Chitnis,51,405,140,62,2,8.5,31.0,25.5
JPR Scantlebury-Searles,78,383,168,89,2,13.0,44.5,39.0
D Kalyankrishna,88,542,182,88,2,14.666666666666666,44.0,44.0
P Suyal,195,703,420,154,2,32.5,77.0,97.5
R Parag,146,750,343,148,2,24.333333333333332,74.0,73.0
C Nanda,94,532,182,58,2,15.666666666666666,29.0,47.0
MJ Henry,62,249,112,71,2,10.333333333333334,35.5,31.0
Mohammad Hafeez,83,550,231,71,2,13.833333333333334,35.5,41.5
SC Kuggeleijn,75,670,182,71,2,12.5,35.5,37.5
KJ Abbott,158,805,379,182,2,26.333333333333332,91.0,79.0
S Sandeep Warrier,143,404,344,120,2,23.833333333333332,60.0,71.5
ND Doshi,89,511,199,79,2,14.833333333333334,39.5,44.5
Shoaib Malik,103,638,225,87,2,17.166666666666668,43.5,51.5
MA Khote,30,450,105,52,2,5.0,26.0,15.0
TP Sudhindra,122,696,269,137,1,20.333333333333332,137.0,122.0
AJ Finch,70,389,155,67,1,11.666666666666666,67.0,70.0
SB Joshi,74,647,190,82,1,12.333333333333334,82.0,74.0
Swapnil Singh,92,578,217,90,1,15.333333333333334,90.0,92.0
AC Voges,93,560,203,76,1,15.5,76.0,93.0
MK Tiwary,57,538,168,83,1,9.5,83.0,57.0
JR Hazlewood,97,395,217,72,1,16.166666666666668,72.0,97.0
AA Jhunjhunwala,102,653,317,130,1,17.0,130.0,102.0
CL White,78,489,176,86,1,13.0,86.0,78.0
D Salunkhe,65,526,189,80,1,10.833333333333334,80.0,65.0
RG More,61,431,134,63,1,10.166666666666666,63.0,61.0
GS Sandhu,48,618,168,86,1,8.0,86.0,48.0
Abdul Samad,74,457,154,96,1,12.333333333333334,96.0,74.0
SE Rutherford,52,556,182,60,1,8.666666666666666,60.0,52.0
AC Gilchrist,2,19,1,0,1,0.3333333333333333,0.0,2.0
CJ McKay,60,402,147,60,1,10.0,60.0,60.0
GR Napier,48,198,84,28,1,8.0,28.0,48.0
Mashrafe Mortaza,56,298,113,59,1,9.333333333333334,59.0,56.0
AM Rahane,6,84,21,5,1,1.0,5.0,6.0
LA Carseldine,7,35,28,6,1,1.1666666666666667,6.0,7.0
SS Mundhe,7,35,28,6,1,1.1666666666666667,6.0,7.0
AS Roy,30,153,66,11,1,5.0,11.0,30.0
NB Singh,25,38,91,18,1,4.166666666666667,18.0,25.0
AA Kazi,13,157,49,21,1,2.1666666666666665,21.0,13.0
S Vidyut,26,142,49,22,1,4.333333333333333,22.0,26.0
DJM Short,36,198,63,23,1,6.0,23.0,36.0
DB Ravi Teja,30,204,63,28,1,5.0,28.0,30.0
FY Fazal,18,180,42,20,1,3.0,20.0,18.0
A Nel,36,168,63,31,1,6.0,31.0,36.0
LMP Simmons,36,252,63,34,1,6.0,34.0,36.0
SS Sarkar,32,281,85,34,1,5.333333333333333,34.0,32.0
BMAJ Mendis,48,288,105,36,1,8.0,36.0,48.0
AA Noffke,25,249,91,41,1,4.166666666666667,41.0,25.0
T Henderson,48,504,126,41,1,8.0,41.0,48.0
PM Sarvesh Kumar,43,233,112,42,1,7.166666666666667,42.0,43.0
