,id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken,fantasy_points
254,254,LMP Simmons,34,39,0,51,1,62
255,255,LPC Silva,19,20,0,0,0,19
256,256,LR Shukla,10,13,0,29,1,37
257,257,LRPL Taylor,17,24,0,0,0,24
258,258,LS Livingstone,19,23,0,0,0,23
259,259,M Ashwin,1,2,0,50,1,27
260,260,M Kaif,9,16,0,0,0,16
261,261,M Kartik,12,16,0,72,2,65
262,262,M Klinger,12,18,0,0,0,17
263,263,M Manhas,13,21,0,0,0,21
264,264,M Markande,5,9,0,36,1,33
265,265,M Morkel,8,11,0,26,1,35
266,266,M Muralitharan,1,3,0,40,1,28
267,267,M Ntini,4,11,0,49,1,35
268,268,M Prasidh Krishna,0,3,0,68,2,53
269,269,M Rawat,4,11,0,0,0,11
270,270,M Vijay,21,27,0,0,0,27
271,271,M Vohra,21,24,0,0,0,24
272,272,M de Lange,0,1,0,40,1,26
273,273,MA Agarwal,17,21,0,0,0,21
274,274,MA Khote,8,12,0,16,1,36
275,275,MA Starc,9,16,0,16,1,40
276,276,MA Wood,0,1,0,0,0,1
277,277,MC Henriques,26,27,0,42,1,51
278,278,MC Juneja,10,17,0,0,0,17
279,279,MD Mishra,10,15,0,0,0,15
280,280,MDKJ Perera,7,7,0,0,0,7
281,281,MEK Hussey,33,38,0,0,0,38
282,282,MF Maharoof,16,17,0,13,1,42
283,283,MG Johnson,7,11,0,34,1,35
284,284,MJ Clarke,8,16,0,26,1,40
285,285,MJ Guptill,24,22,0,0,0,21
286,286,MJ Lumb,24,27,0,0,0,27
287,287,MJ McClenaghan,4,7,0,26,1,31
288,288,MJ Santner,20,32,0,23,1,56
289,289,MK Lomror,13,17,0,0,0,17
290,290,MK Pandey,22,29,0,0,0,29
291,291,MK Tiwary,20,27,0,197,3,103
292,292,ML Hayden,37,41,0,0,0,40
293,293,MM Ali,29,23,0,26,1,47
294,294,MM Patel,4,7,0,21,1,31
295,295,MM Sharma,5,8,0,27,1,33
296,296,MN Samuels,8,13,0,35,1,37
297,297,MN van Wyk,53,55,0,0,0,55
298,298,MP Stoinis,26,27,0,36,1,51
299,299,MR Marsh,12,17,0,18,1,42
300,300,MS Bisla,13,21,0,0,0,21
301,301,MS Dhoni,33,36,0,0,0,36
302,302,MS Gony,9,11,0,50,1,35
303,303,MS Wade,4,7,0,0,0,7
304,304,MV Boucher,20,26,0,0,0,26
305,305,Mandeep Singh,17,21,0,0,0,21
306,306,Mashrafe Mortaza,0,0,0,138,2,50
307,307,Misbah-ul-Haq,13,13,0,0,0,13
308,308,Mohammad Ashraful,0,2,0,0,0,2
309,309,Mohammad Asif,0,1,0,47,1,26
310,310,Mohammad Hafeez,4,8,0,60,1,33
311,311,Mohammad Nabi,16,16,0,54,1,40
312,312,Mohammed Shami,2,5,0,30,1,29
313,313,Mohammed Siraj,5,9,0,31,1,33
314,314,Mujeeb Ur Rahman,1,3,0,44,1,28
315,315,Mustafizur Rahman,0,1,0,32,1,26
316,316,N Jagadeesan,8,16,0,0,0,16
317,317,N Pooran,30,30,0,0,0,30
318,318,N Rana,22,27,0,18,1,51
319,319,N Saini,7,12,0,0,0,12
320,320,NA Saini,8,14,0,85,2,63
321,321,ND Doshi,0,0,0,72,2,50
322,322,NJ Maddinson,2,6,0,0,0,6
323,323,NJ Rimmington,0,0,0,0,0,0
324,324,NL McCullum,5,8,0,0,0,8
325,325,NLTC Perera,15,17,0,32,1,42
326,326,NM Coulter-Nile,8,9,0,21,1,33
327,327,NS Naik,3,7,0,0,0,7
328,328,NV Ojha,16,21,0,0,0,21
329,329,Niraj Patel,12,24,0,0,0,24
330,330,OA Shah,37,38,0,0,0,38
331,331,P Awana,0,1,0,25,1,26
332,332,P Chopra,5,8,0,0,0,8
333,333,P Dogra,6,10,0,0,0,10
334,334,P Dubey,0,0,0,0,0,0
335,335,P Kumar,7,10,0,51,1,35
336,336,P Negi,12,14,0,31,1,38
337,337,P Parameswaran,0,0,0,26,1,25
338,338,P Ray Barman,7,19,0,0,0,19
339,339,P Sahu,0,0,0,119,2,50
340,340,P Simran Singh,4,10,0,0,0,10
341,341,PA Patel,16,22,0,0,0,21
342,342,PA Reddy,9,16,0,0,0,16
343,343,PC Valthaty,16,22,0,41,1,45
344,344,PD Collingwood,48,50,0,21,1,74
345,345,PJ Cummins,15,17,0,41,1,42
346,346,PJ Sangwan,1,3,0,36,1,28
347,347,PK Garg,9,14,0,0,0,14
348,348,PM Sarvesh Kumar,0,0,0,75,2,50
349,349,PP Chawla,8,11,0,30,1,35
350,350,PP Ojha,0,1,0,30,1,26
351,351,PP Shaw,21,22,0,0,0,21
352,352,PR Shah,8,11,0,0,0,11
353,353,PSP Handscomb,3,6,0,0,0,6
354,354,PV Tambe,4,18,0,39,1,42
355,355,Pankaj Singh,0,3,0,70,2,53
356,356,Parvez Rasool,3,8,0,196,3,80
357,357,Q de Kock,27,32,0,0,0,31
358,358,R Ashwin,7,11,0,33,1,35
359,359,R Bhatia,8,11,0,29,1,35
360,360,R Bishnoi,5,6,0,0,0,6
361,361,R Dhawan,15,21,0,53,1,45
362,362,R Dravid,20,28,0,0,0,28
363,363,R McLaren,12,19,0,63,2,67
364,364,R Ninan,0,3,0,10,1,28
365,365,R Parag,18,24,0,225,3,96
366,366,R Rampaul,6,10,0,26,1,35
367,367,R Sathish,11,16,0,65,2,65
368,368,R Sharma,3,6,0,36,1,30
369,369,R Shukla,4,9,0,35,1,33
370,370,R Tewatia,21,28,0,32,1,52
371,371,R Vinay Kumar,7,11,0,24,1,35
372,372,RA Jadeja,19,24,0,37,1,47
373,373,RA Tripathi,23,26,0,0,0,26
374,374,RD Chahar,7,8,0,37,1,33
375,375,RD Gaikwad,40,68,0,0,0,68
376,376,RE Levi,8,13,0,0,0,13
377,377,RE van der Merwe,9,13,0,22,1,37
378,378,RG More,0,0,0,160,3,75
379,379,RG Sharma,25,29,0,38,1,52
380,380,RJ Harris,5,9,0,24,1,33
381,381,RJ Peterson,6,10,0,15,1,35
382,382,RJ Quiney,8,14,0,0,0,14
383,383,RK Bhui,0,3,0,0,0,3
384,384,RK Singh,7,11,0,0,0,11
385,385,RN ten Doeschate,18,19,0,53,1,43
386,386,RP Singh,1,3,0,27,1,28
387,387,RR Bhatkal,0,0,0,0,0,0
388,388,RR Pant,33,35,0,0,0,34
389,389,RR Powar,19,22,0,63,1,46
390,390,RR Raje,16,20,0,38,1,44
391,391,RR Rossouw,4,8,0,0,0,8
392,392,RR Sarwan,11,24,0,0,0,24
393,393,RS Bopara,21,27,0,23,1,51
394,394,RS Gavaskar,0,2,0,0,0,2
395,395,RS Sodhi,0,0,0,0,0,0
396,396,RT Ponting,5,11,0,0,0,11
397,397,RV Gomez,6,7,0,21,1,31
398,398,RV Uthappa,21,27,0,0,0,27
399,399,Rashid Khan,7,8,0,22,1,33
400,400,Rasikh Salam,0,0,0,0,0,0
401,401,Ravi Bishnoi,2,7,0,37,1,31
402,402,S Anirudha,16,17,0,0,0,17
403,403,S Aravind,11,19,0,22,1,43
404,404,S Badree,0,2,0,40,1,27
405,405,S Badrinath,25,30,0,0,0,30
406,406,S Chanderpaul,3,8,0,0,0,8
407,407,S Dhawan,29,34,0,15,1,57
408,408,S Dube,13,15,0,13,1,39
409,409,S Gopal,9,13,0,25,1,37
