id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken
525,Y Nagar,14,19,0,34,1
526,Y Prithvi Raj,0,0,0,157,2
527,Y Venugopal Rao,17,23,0,88,2
528,YA Abdulla,0,0,0,18,1
529,YBK Jaiswal,6,13,0,0,0
530,YK Pathan,24,28,0,46,1
531,YS Chahal,0,4,0,25,1
532,YV Takawale,14,24,0,0,0
533,Yashpal Singh,4,11,0,0,0
534,Younis Khan,0,3,0,0,0
535,Yuvraj Singh,20,25,0,37,1
536,Z Khan,3,7,0,27,1
537,A Nel,0,0,0,46,1
538,AA Kazi,0,0,0,11,1
539,AM Salvi,0,0,0,39,1
540,AS Roy,0,0,0,14,0
541,Anand Rajan,0,0,0,22,1
542,B Geeves,0,0,0,45,2
543,BW Hilfenhaus,0,0,0,23,1
544,C Ganapathy,0,0,0,0,0
545,CJ Dala,0,0,0,0,0
546,CJ Green,0,0,0,0,0
547,DJ Willey,0,0,0,86,2
548,GS Sandhu,0,0,0,172,4
549,Gagandeep Singh,0,0,0,70,2
550,Harmeet Singh (2),0,0,0,71,1
551,JP Behrendorff,0,0,0,51,1
552,JR Hazlewood,0,0,0,291,3
553,JW Hastings,0,0,0,32,1
554,K Khejroliya,0,0,0,95,2
555,K Santokie,0,0,0,32,1
556,KM Asif,0,0,0,26,1
557,L Ngidi,0,0,0,8,1
558,MB Parmar,0,0,0,0,0
559,MG Neser,0,0,0,0,0
560,MJ Henry,0,0,0,45,1
561,Monu Kumar,0,0,0,0,0
562,NB Singh,0,0,0,19,1
563,O Thomas,0,0,0,9,1
564,P Amarnath,0,0,0,44,1
565,P Prasanth,0,0,0,0,0
566,P Suyal,0,0,0,311,3
567,RA Shaikh,0,0,0,0,0
568,RR Bose,0,0,0,0,0
569,RW Price,0,0,0,0,0
570,S Midhun,0,0,0,0,0
571,S Sandeep Warrier,0,0,0,178,2
572,SC Kuggeleijn,0,0,0,54,1
573,SM Boland,0,0,0,15,1
574,SS Agarwal,0,0,0,42,2
575,SS Mundhe,0,0,0,2,0
576,SS Sarkar,0,0,0,45,1
577,T Shamsi,0,0,0,117,2
578,TP Sudhindra,0,0,0,696,6
579,Tejas Baroka,0,0,0,0,0
