batsman,inning,batsman_runs,is_wicket,strike,batting_avg
Imran Tahir,56,33,4,89.18918919,8.25
SB Bangar,78,49,6,84.48275862,8.166666667
JD Unadkat,98,64,8,95.52238806,8
Mohammad Hafeez,109,64,8,76.19047619,8
CJ Jordan,56,32,4,84.21052632,8
KC Cariappa,36,24,3,114.2857143,8
JPR Scantlebury-Searles,6,8,1,133.3333333,8
P Chopra,12,8,1,133.3333333,8
TM Srivastava,21,8,1,72.72727273,8
CJ McKay,15,8,1,53.33333333,8
AD Mascarenhas,111,79,10,100,7.9
I Sharma,95,55,7,88.70967742,7.857142857
Z Khan,226,117,15,82.9787234,7.8
AUK Pathan,45,39,5,150,7.8
MM Patel,64,39,5,95.12195122,7.8
NS Naik,59,31,4,58.49056604,7.75
MJ McClenaghan,119,85,11,116.4383562,7.727272727
J Arunkumar,45,23,3,95.83333333,7.666666667
SW Tait,38,23,3,88.46153846,7.666666667
BMAJ Mendis,45,23,3,85.18518519,7.666666667
B Kumar,322,183,24,91.95979899,7.625
DW Steyn,257,167,22,102.4539877,7.590909091
VY Mahesh,50,15,2,53.57142857,7.5
SL Malinga,180,88,12,85.4368932,7.333333333
KL Nagarkoti,42,22,3,68.75,7.333333333
MS Wade,37,22,3,66.66666667,7.333333333
RV Gomez,54,50,7,94.33962264,7.142857143
WD Parnell,105,63,9,78.75,7
AS Yadav,44,49,7,122.5,7
F Behardien,21,14,2,107.6923077,7
MDKJ Perera,13,14,2,107.6923077,7
A Nortje,11,7,1,116.6666667,7
VS Malik,9,7,1,100,7
Ravi Bishnoi,24,7,1,58.33333333,7
UA Birla,30,7,1,46.66666667,7
A Mithun,47,34,5,130.7692308,6.8
NJ Maddinson,42,20,3,95.23809524,6.666666667
AS Rajpoot,66,26,4,63.41463415,6.5
DR Shorey,40,13,2,65,6.5
R Bishnoi,20,19,3,111.7647059,6.333333333
Vishnu Vinod,26,19,3,73.07692308,6.333333333
R Sharma,118,66,11,85.71428571,6
T Thushara,25,12,2,63.15789474,6
PSP Handscomb,12,6,1,50,6
Mohammed Shami,97,56,10,98.24561404,5.6
CK Kapugedera,33,16,3,66.66666667,5.333333333
SK Trivedi,92,42,8,68.85245902,5.25
L Balaji,71,36,7,72,5.142857143
A Nehra,107,41,8,65.07936508,5.125
I Udana,14,15,3,136.3636364,5
J Theron,24,10,2,76.92307692,5
